"id_servidor";"nome";"id_unidade";"unidade";"id_centro";"centro";"coordenador";"internos";"externos";
"23906";"ADA CRISTINA SCUDELARI";"52";"DEPARTAMENTO DE ENGENHARIA CIVIL";"445";"CENTRO DE TECNOLOGIA";"3";"1";"4";
"5754609";"ADAILDO GOMES D ASSUNCAO";"5204";"DEPARTAMENTO DE ENGENHARIA DE COMUNICACOES";"445";"CENTRO DE TECNOLOGIA";"1";"0";"1";
"5757049";"ADALA NAYANA DE SOUSA MATA";"7278";"ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"1";"0";
"5757114";"ADA LIMA FERREIRA DE SOUSA";"4885";"ESCOLA DE CIÊNCIAS E TECNOLOGIA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"0";"1";"0";
"5757842";"ADAMO PERRUCCI";"9750";"DEPARTAMENTO DE DIREITO PROCESSUAL E PROPEDÊUTICA - DEPRO";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"0";"1";"0";
"22092";"ADAUTO CHIAMENTI";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"3";"0";
"21846";"ADELARDO ADELINO DANTAS DE MEDEIROS";"56";"DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO";"445";"CENTRO DE TECNOLOGIA";"1";"2";"2";
"5753103";"ADELENA GONCALVES MAIA";"52";"DEPARTAMENTO DE ENGENHARIA CIVIL";"445";"CENTRO DE TECNOLOGIA";"1";"4";"0";
"21730";"ADEMIR OLIVEIRA DA SILVA";"6025";"INSTITUTO DE QUÍMICA";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"1";"3";"1";
"25430";"ADERSON FARIAS DO NASCIMENTO";"4894";"DEPARTAMENTO DE GEOFÍSICA";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"6";"1";"10";
"5753542";"ADILSON JOSÉ DE OLIVEIRA";"50";"DEPARTAMENTO DE ENGENHARIA MECANICA";"445";"CENTRO DE TECNOLOGIA";"1";"2";"1";
"22129";"ADIR LUIZ FERREIRA";"5967";"DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO";"5965";"CENTRO DE EDUCAÇÃO";"1";"2";"0";
"5756303";"ADLEY ANTONINI NEVES DE LIMA";"196";"DEPARTAMENTO DE FARMACIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"3";"0";
"26212";"ADRIANA AUGUSTO DE REZENDE";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"9";"1";
"5752647";"ADRIANA BEZERRA NUNES";"191";"DEPARTAMENTO DE MEDICINA CLÍNICA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"0";"2";"1";
"25595";"ADRIANA DA FONTE PORTO CARREIRO";"195";"DEPARTAMENTO DE ODONTOLOGIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"3";"0";
"5751834";"ADRIANA DA SILVA BRITO";"4890";"FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"6";"0";
"3030265";"ADRIANA FERREIRA UCHOA";"179";"DEPARTAMENTO DE BIOLOGIA CELULAR E GENÉTICA";"440";"CENTRO DE BIOCIÊNCIAS";"2";"8";"3";
"5752176";"ADRIANA GOMES MAGALHAES";"4890";"FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"6";"0";
"5758781";"ADRIANA MARCELLE DE ANDRADE FREITAS";"5206";"DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"1";"0";
"3020219";"ADRIANA MONTEIRO DE ALMEIDA";"8366";"DEPARTAMENTO DE ECOLOGIA";"440";"CENTRO DE BIOCIÊNCIAS";"1";"1";"0";
"5752266";"ADRIAN ANTONIO GARDA";"183";"DEPARTAMENTO DE BOTÂNICA E ZOOLOGIA";"440";"CENTRO DE BIOCIÊNCIAS";"1";"0";"1";
"5758395";"ADRIANE CENCI";"5967";"DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO";"5965";"CENTRO DE EDUCAÇÃO";"0";"1";"0";
"5757385";"ADRIANNE PAULA VIEIRA DE ANDRADE";"9726";"DEPARTAMENTO DE COMPUTAÇÃO E TECNOLOGIA";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"0";"2";"0";
